You are helping an EasyCrypt proof: an SMT solver must prove the goal below.
From the candidate lemmas (axioms available in the environment), pick the ones
the solver actually NEEDS. Most goals need only 1-3 of them.

goal_id: examples/old/trapdoor.ec::CVC5:1
- Distr_`*`'def
- Distr_`*`_sort
- Distr_const_weight_dlet
- Distr_countable_mu1
- Distr_dadd1E
- Distr_daddE
- Distr_dbin'def
- Distr_dbin1E
- Distr_djoin_cons1E
- Distr_djoin_cons1nilE
- Distr_djoin_nil1E
- Distr_djoin_nilE
- Distr_dlet'def
- Distr_dlet1E
- Distr_dletE
- Distr_dletE_bool
- Distr_dlet_muE
- Distr_dlet_muE_swap
- Distr_dlet_sort
- Distr_dmap'def
- Distr_dmap_sort
- Distr_dnull1E
- Distr_dnullE
- Distr_dprod1E
- Distr_dprodE
- Distr_dprodEl
- Distr_dprodEr
- Distr_dprod_partition
- Distr_drestrict'def
- Distr_drestrict1E
- Distr_drestrict_sort
- Distr_dscale'def
- Distr_dscaleE
- Distr_dscale_ll
- Distr_dscale_sort
- Distr_eq0_mu
- Distr_eq1_mu
- Distr_expC
- Distr_expC_cond
- Distr_expD_cond
- Distr_expZ
- Distr_exp_cond_dunit
- Distr_exp_cond_eq0
- Distr_exp_cond_ge0
- Distr_exp_dnull
- Distr_exp_drestrict
- Distr_exp_duniform
- Distr_exp_eq0
- Distr_exp_ge0
- Distr_exp_norm
- Distr_funi_neq0_full
- Distr_ge0_isdistr
- Distr_ge0_mu
- Distr_ge0_mu1
- Distr_ge0_weight
- Distr_hasE'def
- Distr_hasEZ
- Distr_hasEZr
- Distr_hasE_cond
- Distr_hasE_le
- Distr_in_ler_exp
- Distr_in_ler_exp_cond
- Distr_is_full'def
- Distr_is_funiform'def
- Distr_is_lossless'def
- Distr_is_losslessP
- Distr_is_uniform'def
- Distr_isdistr_finP
- Distr_isdistr_ind
- Distr_isdistr_madd
- Distr_isdistr_mbin
- Distr_le1_isdistr
- Distr_le1_mu
- Distr_le1_mu1
- Distr_le1_mu1_fin
- Distr_le1_sum_isdistr
- Distr_le_djoin_size
- Distr_le_dprod_or
- Distr_ler_exp
- Distr_ler_exp_pos
- Distr_ll_dbin
- Distr_madd'def
- Distr_madd_ho_sort
- Distr_madd_ho_spec
- Distr_mbin'def
- Distr_mbin_ho_spec
- Distr_mbin_support
- Distr_mk_sort
- Distr_mlet'def
- Distr_mlet_ho_sort
- Distr_mlet_ho_spec
- Distr_mnull_ho_sort
- Distr_mnull_ho_spec
- Distr_mode'def
- Distr_mode_ge
- Distr_mode_sort
- Distr_mprod'def
- Distr_mprod_ho_sort
- Distr_mprod_ho_spec
- Distr_mrestrict'def
- Distr_mrestrict_ho_sort
- Distr_mrestrict_ho_spec
- Distr_mu0
- Distr_mu0_false
- Distr_mu1_le_eq
- Distr_mu1_le_eq_mu1
- Distr_mu1_uni
- Distr_mu1_uni_ll
- Distr_muE
- Distr_mu_bounded
- Distr_mu_dlet_le
- Distr_mu_has_le
- Distr_mu_has_leM
- Distr_mu_le
- Distr_mu_le_eq
- Distr_mu_le_weight
- Distr_mu_mass
- Distr_mu_mem_le_mu1
- Distr_mu_pos_fin
- Distr_mu_sub
- Distr_neq0_mu
- Distr_p_max'def
- Distr_pmax_dnull
- Distr_pmax_ge0
- Distr_pmax_gt0
- Distr_pmax_le1
- Distr_pmax_upper_bound
- Distr_summable_dlet
- Distr_summable_mu1_cond
- Distr_summable_mu1_wght
- Distr_supp_dbin
- Distr_support'def
- Distr_supportP
- Distr_supportPn
- Distr_support_ho_sort
- Distr_support_ho_spec
- Distr_uniform_pmaxE
- Distr_weight_djoin_cons
- Distr_weight_djoin_nil
- Distr_weight_dlet
- Distr_weight_dnull
- Distr_weight_dprod
- Distr_weight_dscale
- Distr_weight_eq0
- Distr_weight_eq0_dnull
- Distr_witness_support
- FD_dt1E
- FD_supp
- Finite_is_finite'def
- Finite_is_finite_for'def
- Finite_to_seq'def
- Finite_to_seq_sort
- GP_ZModE_DZmodP_dunifin1E
- GP_ZModE_DZmodP_dunifinE
- GP_ZModE_Sub_insubd'def
- GP_ZModE_inzmod'def
- GP_ZModE_inzmod_ho_spec
- IntDiv_%_'def
- IntDiv_fromint_div
- Int_IterOp_iter'def
- Int_IterOp_iter_sort
- Int_IterOp_iteri_sort
- Int_IterOp_iterop'def
- Int_IterOp_iterop_sort
- Int_b2i'def
- Int_max'def
- Int_odd'def
- List_++'def
- List_++_sort
- List_::_proj_1'def
- List_::_proj_1_sort
- List_::_proj_2'def
- List_::_proj_2_sort
- List_::_sort
- List_Range_range'def
- List_[]_sort
- List_count'def
- List_filter'def
- List_filter_sort
- List_foldr'def
- List_foldr_sort
- List_has'def
- List_list_inversion
- List_map'def
- List_map_sort
- List_maxr_seq
- List_mem'def
- List_mem_ho_ho_sort
- List_mem_ho_ho_spec
- List_nseq'def
- List_nseq_sort
- List_nth'def
- List_nth_sort
- List_rcons'def
- List_rcons_sort
- List_rem'def
- List_rem_sort
- List_size'def
- List_undup'def
- List_undup_sort
- List_uniq'def
- Logic_None_sort
- Logic_Some_proj_1'def
- Logic_Some_proj_1_sort
- Logic_Some_sort
- Logic___o'def
- Logic___o_ho_sort
- Logic___o_ho_spec
- Logic___o_sort
- Logic_associative'def
- Logic_cancel'def
- Logic_choiceb_sort
- Logic_commutative'def
- Logic_injective'def
- Logic_interchange'def
- Logic_left_commutative'def
- Logic_left_distributive'def
- Logic_left_id'def
- Logic_left_injective_in'def
- Logic_left_inverse'def
- Logic_left_inverse_in'def
- Logic_left_zero'def
- Logic_morphism_2'def
- Logic_odflt'def
- Logic_odflt_sort
- Logic_option_inversion
- Logic_pred0_ho_sort
- Logic_pred0_ho_spec
- Logic_pred1_ho_sort
- Logic_pred1_ho_spec
- Logic_predC'def
- Logic_predC1'def
- Logic_predC1_ho_sort
- Logic_predC1_ho_spec
- Logic_predC_ho_sort
- Logic_predC_ho_spec
- Logic_predI'def
- Logic_predI_ho_sort
- Logic_predI_ho_spec
- Logic_predT_ho_sort
- Logic_predT_ho_spec
- Logic_predU'def
- Logic_predU_ho_sort
- Logic_predU_ho_spec
- Logic_right_commutative'def
- Logic_right_distributive'def
- Logic_right_id'def
- Logic_right_injective_in'def
- Logic_right_inverse'def
- Logic_right_inverse_in'def
- Logic_right_zero'def
- Number_mono2'def
- RealExp_D2'def
- RealExp_^'def
- RealExp_e_boundW
- RealExp_e_ge0
- RealExp_e_gt0
- RealExp_exp0
- RealExp_expD
- RealExp_expK
- RealExp_exp_gt0
- RealExp_exp_mono
- RealExp_exp_mono_ltr
- RealExp_exp_neq0
- RealExp_ge0_sqrt
- RealExp_ge1_sqrt
- RealExp_ge2_e
- RealExp_inj_ln
- RealExp_inj_log
- RealExp_inj_rexpr
- RealExp_le1Dx_exp
- RealExp_le1Dx_rpowe
- RealExp_le_ln_dw
- RealExp_le_ln_up
- RealExp_ln0
- RealExp_ln1
- RealExp_lnM
- RealExp_lnV
- RealExp_ln_eq0
- RealExp_ln_ge0
- RealExp_ln_gt0
- RealExp_ln_le0
- RealExp_ln_mono
- RealExp_ln_mono_ltr
- RealExp_log'def
- RealExp_logK
- RealExp_logM
- RealExp_log_ge0
- RealExp_log_le0
- RealExp_log_mono
- RealExp_log_mono_ltr
- RealExp_lt3_e
- RealExp_poly2_canon
- RealExp_poly2_same_sign
- RealExp_poly2_solve
- RealExp_rexpr_hmono
- RealExp_rexpr_hmono_ltr
- RealExp_rpow0
- RealExp_rpow0r
- RealExp_rpow1
- RealExp_rpow1r
- RealExp_rpowB
- RealExp_rpowD
- RealExp_rpowE
- RealExp_rpowK
- RealExp_rpowM
- RealExp_rpowMVr
- RealExp_rpowMr
- RealExp_rpowN
- RealExp_rpowVr
- RealExp_rpow_ge0
- RealExp_rpow_gt0
- RealExp_rpow_hmono
- RealExp_rpow_int
- RealExp_rpow_mono
- RealExp_rpow_nat
- RealExp_rpoweK
- RealExp_rpoweM
- RealExp_rpowe_ge0
- RealExp_rpowe_gt0
- RealExp_rpowe_hmono
- RealExp_rpowe_mono
- RealExp_sqrt0
- RealExp_sqrtE
- RealExp_sqrtM
- RealExp_sqrt_gt0
- RealExp_sqrt_mono
- RealExp_sqrtsq
- RealExp_sqrtsq_ge0
- RealExp_sqsqrt
- RealFLub_flub'def
- RealFLub_flubZ
- RealFLub_flub_le_ub
- RealFLub_flub_upper_bound
- RealFLub_has_fub'def
- RealFLub_has_fubZ
- RealFLub_is_fub'def
- RealFLub_ler_flub
- RealFLub_ler_has_fub
- RealFun_convex'def
- RealFun_convexZ
- RealFun_convex_le
- RealFun_segment_coeff
- RealLub_has_lub_scale
- RealLub_ler_lub
- RealLub_lub_le_ub
- RealLub_lub_scale
- RealLub_lub_scale0
- RealLub_scale_rset'def
- RealLub_scale_rset_ho_spec
- RealSeq_bounded'def
- RealSeq_boundedP
- RealSeq_bounded_by'def
- RealSeq_cnvZ
- RealSeq_cnvZ_iff
- RealSeq_cnv_bmono_from
- RealSeq_cnv_pow
- RealSeq_cnvtoBlim
- RealSeq_cnvtoD0r
- RealSeq_cnvtoDr0
- RealSeq_cnvtoM
- RealSeq_cnvtoM_boundedl
- RealSeq_cnvtoM_boundedr
- RealSeq_cnvtoV0
- RealSeq_cnvtoV_nz
- RealSeq_cnvtoVn
- RealSeq_cnvtoVn2
- RealSeq_cnvtoZ
- RealSeq_cnvto_lub_bmono_from
- RealSeq_cnvto_pow
- RealSeq_converge'def
- RealSeq_convergeto'def
- RealSeq_geC_lim_from
- RealSeq_leC_lim_from
- RealSeq_le_cnvto_from
- RealSeq_lim'def
- RealSeq_limM
- RealSeq_limZ
- RealSeq_lim_Ncnv
- RealSeq_lim_pow
- RealSeq_monotone'def
- RealSeq_monotoneP
- RealSeq_nz_cnvto
- RealSeq_squeeze_cnvto
- RealSeries_abs_neg_ler
- RealSeries_abs_pos_ler
- RealSeries_fin_sum_cond
- RealSeries_fin_sum_const
- RealSeries_ge0_psum
- RealSeries_ge0_sum
- RealSeries_le0_sum
- RealSeries_ler_big_sum
- RealSeries_ler_neg
- RealSeries_ler_norm_sum
- RealSeries_ler_pos
- RealSeries_ler_psum
- RealSeries_ler_psum_reindex
- RealSeries_ler_sum
- RealSeries_ler_sum_norm
- RealSeries_ler_sum_pos
- RealSeries_neg'def
- RealSeries_neg_ge0
- RealSeries_neg_ho_sort
- RealSeries_neg_ho_spec
- RealSeries_neg_ler
- RealSeries_norm_sum
- RealSeries_pos'def
- RealSeries_pos_ge0
- RealSeries_pos_ger
- RealSeries_pos_ho_sort
- RealSeries_pos_ho_spec
- RealSeries_pos_id
- RealSeries_psum'def
- RealSeries_psum_eq0P
- RealSeries_psum_partition
- RealSeries_psum_pred'def
- RealSeries_psum_pred_ho_sort
- RealSeries_psum_pred_ho_spec
- RealSeries_sbl_countable
- RealSeries_sum'def
- RealSeries_sum0
- RealSeries_sum0_eq
- RealSeries_sumD1
- RealSeries_sumE_fin
- RealSeries_sumZ
- RealSeries_sumZr
- RealSeries_sum_Nsbl
- RealSeries_sum_norm
- RealSeries_sum_partition
- RealSeries_sum_split
- RealSeries_sum_split_dist
- RealSeries_sum_split_norm
- RealSeries_summable'def
- RealSeries_summable0
- RealSeries_summableM
- RealSeries_summableM_bound
- RealSeries_summableM_prod
- RealSeries_summableM_prod_dep
- RealSeries_summableZ
- RealSeries_summableZ_iff
- RealSeries_summable_cond
- RealSeries_summable_cond_fin
- RealSeries_summable_fin
- RealSeries_summable_le
- RealSeries_summable_le_pos
- RealSeries_summable_partition
- RealSeries_summable_psum_partition
- RealSeries_summable_swap
- RealSeries_summable_swapR
- RealSeries_sump_eq0P
- Real_RField_AddMonoid_add0m
- Real_RField_AddMonoid_addm0
- Real_RField_AddMonoid_iteropE
- Real_RField_MulMonoid_add0m
- Real_RField_MulMonoid_addm0
- Real_RField_MulMonoid_addmA
- Real_RField_MulMonoid_addmAC
- Real_RField_MulMonoid_addmACA
- Real_RField_MulMonoid_addmC
- Real_RField_MulMonoid_addmCA
- Real_RField_MulMonoid_iteropE
- Real_RField_add0r
- Real_RField_addNr
- Real_RField_addr0
- Real_RField_addrN
- Real_RField_addr_eq0
- Real_RField_div1r
- Real_RField_divff
- Real_RField_divr1
- Real_RField_divrr
- Real_RField_double_half
- Real_RField_eqf_div
- Real_RField_eqr_div
- Real_RField_exp'def
- Real_RField_expfM
- Real_RField_expf_eq0
- Real_RField_expr0
- Real_RField_expr0n
- Real_RField_expr0z
- Real_RField_expr1z
- Real_RField_expr2
- Real_RField_exprD
- Real_RField_exprD_nneg
- Real_RField_exprMn
- Real_RField_exprS
- Real_RField_exprSr
- Real_RField_expr_pred
- Real_RField_fracrDE
- Real_RField_fromintXn
- Real_RField_intmul'def
- Real_RField_intmulpE
- Real_RField_intmulr
- Real_RField_invfM
- Real_RField_invf_div
- Real_RField_invr0
- Real_RField_invr1
- Real_RField_invrM
- Real_RField_invrN1
- Real_RField_invr_eq0
- Real_RField_invr_eq1
- Real_RField_invr_neq0
- Real_RField_invr_out
- Real_RField_lreg'def
- Real_RField_lreg1
- Real_RField_lregM
- Real_RField_lregP
- Real_RField_lreg_neq0
- Real_RField_mul0r
- Real_RField_mul1r
- Real_RField_mul1r0z
- Real_RField_mul1r1z
- Real_RField_mul1r2z
- Real_RField_mulIf
- Real_RField_mulIr
- Real_RField_mulKr
- Real_RField_mulN1r
- Real_RField_mulNr
- Real_RField_mulVKr
- Real_RField_mulVf
- Real_RField_mulVr
- Real_RField_mulfI
- Real_RField_mulfV
- Real_RField_mulf_eq0
- Real_RField_mulf_neq0
- Real_RField_mulr0
- Real_RField_mulr0z
- Real_RField_mulr1
- Real_RField_mulrA
- Real_RField_mulrAC
- Real_RField_mulrACA
- Real_RField_mulrBl
- Real_RField_mulrBr
- Real_RField_mulrC
- Real_RField_mulrCA
- Real_RField_mulrDl
- Real_RField_mulrDr
- Real_RField_mulrI
- Real_RField_mulrI0_lreg
- Real_RField_mulrI_eq0
- Real_RField_mulrK
- Real_RField_mulrN
- Real_RField_mulrN1
- Real_RField_mulrNN
- Real_RField_mulrSl
- Real_RField_mulrV
- Real_RField_mulrVK
- Real_RField_mulr_intl
- Real_RField_mulr_intr
- Real_RField_mulrnAl
- Real_RField_mulrnAr
- Real_RField_mulrzAl
- Real_RField_mulrzAr
- Real_RField_ofint0
- Real_RField_ofint1
- Real_RField_ofintR
- Real_RField_ofintS
- Real_RField_oner_neq0
- Real_RField_oppr0
- Real_RField_oppr_eq0
- Real_RField_signr_odd
- Real_RField_sqrf_eq1
- Real_RField_sqrrB
- Real_RField_sqrrD
- Real_RField_sub0r
- Real_RField_subr0
- Real_RField_subr_eq0
- Real_RField_subr_sqr_1
- Real_RField_subrr
- Real_RField_unitP
- Real_RField_unitout
- Real_RField_unitr0
- Real_RField_unitr1
- Real_RField_unitrE
- Real_RField_unitrM
- Real_RField_unitrMl
- Real_RField_unitrMr
- Real_RField_unitrN
- Real_RField_unitrN1
- Real_RField_unitrP
- Real_RField_unitrV
- Real_RField_unitrX
- Real_RField_unitrX_neq0
- Real_`___'def
- Real_`____ho_spec
- Real_b2r0
- Real_b2r1
- Real_b2rE
- Real_b2r_ge0
- Real_ceil_bound
- Real_ceil_eqP
- Real_ceil_ge
- Real_ceil_lt
- Real_divr0
- Real_divrK
- Real_eq_fromint
- Real_floorP
- Real_floor_bound
- Real_floor_eqP
- Real_floor_gt
- Real_floor_le
- Real_floor_mono
- Real_from_int_ceil
- Real_from_int_ceil_addl
- Real_from_int_ceil_addr
- Real_from_int_floor
- Real_from_int_floor_addl
- Real_from_int_floor_addr
- Real_fromint0
- Real_fromint1
- Real_fromintB
- Real_fromintD
- Real_fromintM
- Real_fromintN
- Real_fromint_abs
- Real_gt_intp
- Real_has_lub'def
- Real_has_ub'def
- Real_intp'def
- Real_invr0
- Real_isint'def
- Real_le_b2r
- Real_le_fromint
- Real_le_intp
- Real_leup_intp
- Real_lt_fromint
- Real_lub_adherent
- Real_lub_upper_bound
- Real_nonempty'def
- Real_ub'def
- Real_ub_ho_spec
- Real_upto2_abs
- Real_upto_abs
- Real_upto_le
- Ring_IntID_exp'def
- StdBigop_BBO_b2r_big
- StdBigop_BBO_big'def
- StdBigop_Bigint_BIA_big'def
- StdBigop_Bigint_BIM_big'def
- StdBigop_Bigreal_BRA_big'def
- StdBigop_Bigreal_BRA_big1
- StdBigop_Bigreal_BRA_big1_eq
- StdBigop_Bigreal_BRA_big1_seq
- StdBigop_Bigreal_BRA_big_comp
- StdBigop_Bigreal_BRA_big_const
- StdBigop_Bigreal_BRA_big_distr
- StdBigop_Bigreal_BRA_big_distrl
- StdBigop_Bigreal_BRA_big_distrr
- StdBigop_Bigreal_BRA_big_endo
- StdBigop_Bigreal_BRA_big_eq_idm_filter
- StdBigop_Bigreal_BRA_big_geq
- StdBigop_Bigreal_BRA_big_hasC
- StdBigop_Bigreal_BRA_big_ind
- StdBigop_Bigreal_BRA_big_ind2
- StdBigop_Bigreal_BRA_big_int_recl_cond
- StdBigop_Bigreal_BRA_big_int_recr_cond
- StdBigop_Bigreal_BRA_big_mkcond
- StdBigop_Bigreal_BRA_big_nil
- StdBigop_Bigreal_BRA_big_nseq
- StdBigop_Bigreal_BRA_big_nseq_cond
- StdBigop_Bigreal_BRA_big_pred0
- StdBigop_Bigreal_BRA_big_pred0_eq
- StdBigop_Bigreal_BRA_big_rec
- StdBigop_Bigreal_BRA_big_rec2
- StdBigop_Bigreal_BRA_big_rem
- StdBigop_Bigreal_BRA_divr_suml
- StdBigop_Bigreal_BRA_mulr_suml
- StdBigop_Bigreal_BRA_mulr_sumr
- StdBigop_Bigreal_BRA_sumr_1
- StdBigop_Bigreal_BRM_big'def
- StdBigop_Bigreal_BRM_big1
- StdBigop_Bigreal_BRM_big1_eq
- StdBigop_Bigreal_BRM_big1_seq
- StdBigop_Bigreal_BRM_bigD1_cond_if
- StdBigop_Bigreal_BRM_bigEM
- StdBigop_Bigreal_BRM_bigID
- StdBigop_Bigreal_BRM_bigU
- StdBigop_Bigreal_BRM_big_cat
- StdBigop_Bigreal_BRM_big_cat_int
- StdBigop_Bigreal_BRM_big_comp
- StdBigop_Bigreal_BRM_big_cons
- StdBigop_Bigreal_BRM_big_consT
- StdBigop_Bigreal_BRM_big_const
- StdBigop_Bigreal_BRM_big_distr
- StdBigop_Bigreal_BRM_big_distrl
- StdBigop_Bigreal_BRM_big_distrr
- StdBigop_Bigreal_BRM_big_endo
- StdBigop_Bigreal_BRM_big_eq_idm_filter
- StdBigop_Bigreal_BRM_big_geq
- StdBigop_Bigreal_BRM_big_hasC
- StdBigop_Bigreal_BRM_big_ind
- StdBigop_Bigreal_BRM_big_ind2
- StdBigop_Bigreal_BRM_big_int_recl_cond
- StdBigop_Bigreal_BRM_big_int_recr_cond
- StdBigop_Bigreal_BRM_big_ltn_cond
- StdBigop_Bigreal_BRM_big_mkcond
- StdBigop_Bigreal_BRM_big_nil
- StdBigop_Bigreal_BRM_big_nseq
- StdBigop_Bigreal_BRM_big_nseq_cond
- StdBigop_Bigreal_BRM_big_pred0
- StdBigop_Bigreal_BRM_big_pred0_eq
- StdBigop_Bigreal_BRM_big_rcons
- StdBigop_Bigreal_BRM_big_rec
- StdBigop_Bigreal_BRM_big_rec2
- StdBigop_Bigreal_BRM_big_rem
- StdBigop_Bigreal_BRM_big_split
- StdBigop_Bigreal_BRM_big_undup
- StdBigop_Bigreal_Num_Domain_AddMonoid_add0m
- StdBigop_Bigreal_Num_Domain_AddMonoid_addm0
- StdBigop_Bigreal_Num_Domain_AddMonoid_iteropE
- StdBigop_Bigreal_Num_Domain_MulMonoid_add0m
- StdBigop_Bigreal_Num_Domain_MulMonoid_addm0
- StdBigop_Bigreal_Num_Domain_MulMonoid_addmA
- StdBigop_Bigreal_Num_Domain_MulMonoid_addmAC
- StdBigop_Bigreal_Num_Domain_MulMonoid_addmACA
- StdBigop_Bigreal_Num_Domain_MulMonoid_addmC
- StdBigop_Bigreal_Num_Domain_MulMonoid_addmCA
- StdBigop_Bigreal_Num_Domain_MulMonoid_iteropE
- StdBigop_Bigreal_Num_Domain_add0r
- StdBigop_Bigreal_Num_Domain_addNr
- StdBigop_Bigreal_Num_Domain_addr0
- StdBigop_Bigreal_Num_Domain_addrN
- StdBigop_Bigreal_Num_Domain_addr_eq0
- StdBigop_Bigreal_Num_Domain_div1r
- StdBigop_Bigreal_Num_Domain_divr1
- StdBigop_Bigreal_Num_Domain_divrr
- StdBigop_Bigreal_Num_Domain_eqr_div
- StdBigop_Bigreal_Num_Domain_expf_eq0
- StdBigop_Bigreal_Num_Domain_expr0
- StdBigop_Bigreal_Num_Domain_expr0n
- StdBigop_Bigreal_Num_Domain_expr0z
- StdBigop_Bigreal_Num_Domain_expr1z
- StdBigop_Bigreal_Num_Domain_expr2
- StdBigop_Bigreal_Num_Domain_exprD
- StdBigop_Bigreal_Num_Domain_exprD_nneg
- StdBigop_Bigreal_Num_Domain_exprMn
- StdBigop_Bigreal_Num_Domain_exprS
- StdBigop_Bigreal_Num_Domain_exprSr
- StdBigop_Bigreal_Num_Domain_expr_pred
- StdBigop_Bigreal_Num_Domain_fracrDE
- StdBigop_Bigreal_Num_Domain_intmulpE
- StdBigop_Bigreal_Num_Domain_invr0
- StdBigop_Bigreal_Num_Domain_invr1
- StdBigop_Bigreal_Num_Domain_invrM
- StdBigop_Bigreal_Num_Domain_invrN1
- StdBigop_Bigreal_Num_Domain_invr_eq0
- StdBigop_Bigreal_Num_Domain_invr_eq1
- StdBigop_Bigreal_Num_Domain_invr_neq0
- StdBigop_Bigreal_Num_Domain_invr_out
- StdBigop_Bigreal_Num_Domain_lreg1
- StdBigop_Bigreal_Num_Domain_lregM
- StdBigop_Bigreal_Num_Domain_lregP
- StdBigop_Bigreal_Num_Domain_lreg_neq0
- StdBigop_Bigreal_Num_Domain_mul0r
- StdBigop_Bigreal_Num_Domain_mul1r
- StdBigop_Bigreal_Num_Domain_mul1r0z
- StdBigop_Bigreal_Num_Domain_mul1r1z
- StdBigop_Bigreal_Num_Domain_mul1r2z
- StdBigop_Bigreal_Num_Domain_mulIf
- StdBigop_Bigreal_Num_Domain_mulIr
- StdBigop_Bigreal_Num_Domain_mulKr
- StdBigop_Bigreal_Num_Domain_mulN1r
- StdBigop_Bigreal_Num_Domain_mulNr
- StdBigop_Bigreal_Num_Domain_mulVKr
- StdBigop_Bigreal_Num_Domain_mulVr
- StdBigop_Bigreal_Num_Domain_mulfI
- StdBigop_Bigreal_Num_Domain_mulf_eq0
- StdBigop_Bigreal_Num_Domain_mulf_neq0
- StdBigop_Bigreal_Num_Domain_mulr0
- StdBigop_Bigreal_Num_Domain_mulr0z
- StdBigop_Bigreal_Num_Domain_mulr1
- StdBigop_Bigreal_Num_Domain_mulrA
- StdBigop_Bigreal_Num_Domain_mulrAC
- StdBigop_Bigreal_Num_Domain_mulrACA
- StdBigop_Bigreal_Num_Domain_mulrBl
- StdBigop_Bigreal_Num_Domain_mulrBr
- StdBigop_Bigreal_Num_Domain_mulrC
- StdBigop_Bigreal_Num_Domain_mulrCA
- StdBigop_Bigreal_Num_Domain_mulrDl
- StdBigop_Bigreal_Num_Domain_mulrDr
- StdBigop_Bigreal_Num_Domain_mulrI
- StdBigop_Bigreal_Num_Domain_mulrI0_lreg
- StdBigop_Bigreal_Num_Domain_mulrI_eq0
- StdBigop_Bigreal_Num_Domain_mulrK
- StdBigop_Bigreal_Num_Domain_mulrN
- StdBigop_Bigreal_Num_Domain_mulrN1
- StdBigop_Bigreal_Num_Domain_mulrNN
- StdBigop_Bigreal_Num_Domain_mulrSl
- StdBigop_Bigreal_Num_Domain_mulrV
- StdBigop_Bigreal_Num_Domain_mulrVK
- StdBigop_Bigreal_Num_Domain_mulr_intl
- StdBigop_Bigreal_Num_Domain_mulr_intr
- StdBigop_Bigreal_Num_Domain_mulrnAl
- StdBigop_Bigreal_Num_Domain_mulrnAr
- StdBigop_Bigreal_Num_Domain_mulrzAl
- StdBigop_Bigreal_Num_Domain_mulrzAr
- StdBigop_Bigreal_Num_Domain_ofint0
- StdBigop_Bigreal_Num_Domain_ofint1
- StdBigop_Bigreal_Num_Domain_ofintS
- StdBigop_Bigreal_Num_Domain_oner_neq0
- StdBigop_Bigreal_Num_Domain_oppr0
- StdBigop_Bigreal_Num_Domain_oppr_eq0
- StdBigop_Bigreal_Num_Domain_signr_odd
- StdBigop_Bigreal_Num_Domain_sqrf_eq1
- StdBigop_Bigreal_Num_Domain_sqrrB
- StdBigop_Bigreal_Num_Domain_sqrrD
- StdBigop_Bigreal_Num_Domain_sub0r
- StdBigop_Bigreal_Num_Domain_subr0
- StdBigop_Bigreal_Num_Domain_subr_eq0
- StdBigop_Bigreal_Num_Domain_subr_sqr_1
- StdBigop_Bigreal_Num_Domain_subrr
- StdBigop_Bigreal_Num_Domain_unitP
- StdBigop_Bigreal_Num_Domain_unitout
- StdBigop_Bigreal_Num_Domain_unitr0
- StdBigop_Bigreal_Num_Domain_unitr1
- StdBigop_Bigreal_Num_Domain_unitrE
- StdBigop_Bigreal_Num_Domain_unitrM
- StdBigop_Bigreal_Num_Domain_unitrMl
- StdBigop_Bigreal_Num_Domain_unitrMr
- StdBigop_Bigreal_Num_Domain_unitrN
- StdBigop_Bigreal_Num_Domain_unitrN1
- StdBigop_Bigreal_Num_Domain_unitrP
