You are helping an EasyCrypt proof: an SMT solver must prove the goal below.
From the candidate lemmas (axioms available in the environment), pick the ones
the solver actually NEEDS. Most goals need only 1-3 of them.

goal_id: examples/upto_syntaxtic.ec::CVC5:1
- Distr_is_full'def
- Distr_is_funiform'def
- Distr_is_lossless'def
- Distr_is_losslessP
- Distr_is_uniform'def
- Distr_iscoupling'def
- Distr_iscpl_E_split
- Distr_iscpl_muL
- Distr_iscpl_muR
- Distr_iscpl_weight
- Distr_iscpl_weightL
- Distr_iscpl_weightR
- Distr_isdistr_madd
- Distr_isdistr_mbin
- Distr_isdistr_mu1
- Distr_le1_isdistr
- Distr_le1_mu
- Distr_le1_mu1
- Distr_le1_mu1_fin
- Distr_le_djoin_size
- Distr_le_dprod_or
- Distr_ler_exp
- Distr_ler_exp_pos
- Distr_ll_dbin
- Distr_madd'def
- Distr_madd_ho_sort
- Distr_madd_ho_spec
- Distr_massE
- Distr_mbin'def
- Distr_mbin_ho_spec
- Distr_mkK
- Distr_mk_sort
- Distr_mlet'def
- Distr_mlet_ho_sort
- Distr_mlet_ho_spec
- Distr_mnull_ho_sort
- Distr_mnull_ho_spec
- Distr_mode'def
- Distr_mode_ge
- Distr_mode_sort
- Distr_mopt'def
- Distr_mopt_ho_sort
- Distr_mopt_ho_spec
- Distr_mprod'def
- Distr_mprod_ho_sort
- Distr_mprod_ho_spec
- Distr_mrestrict'def
- Distr_mrestrict_ho_sort
- Distr_mrestrict_ho_spec
- Distr_mu0
- Distr_mu0_false
- Distr_mu1_le_eq
- Distr_mu1_le_eq_mu1
- Distr_muE
- Distr_muK
- Distr_muK'
- Distr_mu_and
- Distr_mu_and_weight
- Distr_mu_bounded
- Distr_mu_disjoint
- Distr_mu_disjointL
- Distr_mu_dlet_le
- Distr_mu_eq
- Distr_mu_eq_support
- Distr_mu_has_le
- Distr_mu_has_leM
- Distr_mu_in_weight
- Distr_mu_le
- Distr_mu_le_eq
- Distr_mu_le_weight
- Distr_mu_mass
- Distr_mu_mem_le
- Distr_mu_mem_le_mu1
- Distr_mu_not
- Distr_mu_or
- Distr_mu_pos_fin
- Distr_mu_split
- Distr_mu_sub
- Distr_neq0_mu
- Distr_p_max'def
- Distr_pmaxE
- Distr_pmax_ge0
- Distr_pmax_gt0
- Distr_pmax_le1
- Distr_pmax_upper_bound
- Distr_rnd_funi
- Distr_summable_dlet
- Distr_summable_mu1
- Distr_summable_mu1_cond
- Distr_summable_mu1_wght
- Distr_supp_dbin
- Distr_support'def
- Distr_supportP
- Distr_supportPn
- Distr_support_ho_sort
- Distr_support_ho_spec
- Distr_weightE
- Distr_weightE_support
- Distr_weight_djoin
- Distr_weight_djoin_cons
- Distr_weight_djoin_nil
- Distr_weight_dlet
- Distr_weight_dmap
- Distr_weight_dnull
- Distr_weight_dprod
- Distr_weight_drestrict
- Distr_weight_dscale
- Distr_weight_eq0
- Distr_weight_eq0_dnull
- Distr_witness_support
- Finite_is_finite'def
- Finite_is_finite_for'def
- Int_IterOp_iter'def
- Int_IterOp_iter_sort
- Int_IterOp_iteri_sort
- Int_IterOp_iterop'def
- Int_IterOp_iterop_sort
- Int_b2i'def
- List_++'def
- List_++_sort
- List_::_proj_1'def
- List_::_proj_1_sort
- List_::_proj_2'def
- List_::_proj_2_sort
- List_::_sort
- List_Range_range'def
- List_[]_sort
- List_count'def
- List_filter'def
- List_filter_sort
- List_foldr'def
- List_foldr_sort
- List_has'def
- List_list_inversion
- List_map'def
- List_map_sort
- List_maxr_seq
- List_mem'def
- List_mem_ho_ho_sort
- List_mem_ho_ho_spec
- List_nseq'def
- List_nseq_sort
- List_nth'def
- List_nth_sort
- List_rcons'def
- List_rcons_sort
- List_rem'def
- List_rem_sort
- List_size'def
- List_uniq'def
- Logic_=='def
- Logic_None_sort
- Logic_Some_proj_1'def
- Logic_Some_proj_1_sort
- Logic_Some_sort
- Logic___o'def
- Logic___o_ho_sort
- Logic___o_ho_spec
- Logic___o_sort
- Logic_associative'def
- Logic_cancel'def
- Logic_choiceb_sort
- Logic_commutative'def
- Logic_injective'def
- Logic_interchange'def
- Logic_involutive'def
- Logic_left_commutative'def
- Logic_left_distributive'def
- Logic_left_id'def
- Logic_left_injective'def
- Logic_left_inverse'def
- Logic_left_zero'def
- Logic_morphism_2'def
- Logic_oapp'def
- Logic_oapp_ho_ho_sort
- Logic_oapp_ho_ho_spec
- Logic_oapp_sort
- Logic_option_inversion
- Logic_pred0_ho_sort
- Logic_pred0_ho_spec
- Logic_pred1_ho_sort
- Logic_pred1_ho_spec
- Logic_predC'def
- Logic_predC_ho_sort
- Logic_predC_ho_spec
- Logic_predI'def
- Logic_predI_ho_sort
- Logic_predI_ho_spec
- Logic_predT_ho_sort
- Logic_predT_ho_spec
- Logic_predU'def
- Logic_predU_ho_sort
- Logic_predU_ho_spec
- Logic_right_commutative'def
- Logic_right_distributive'def
- Logic_right_id'def
- Logic_right_injective'def
- Logic_right_inverse'def
- Logic_right_zero'def
- Number_mono2'def
- Pr_main_E
- Pr_main_nbad
- Pr_noinit_E
- Pr_noinit_nbad
- RealExp_D2'def
- RealExp_^'def
- RealExp_e_boundW
- RealExp_e_ge0
- RealExp_e_gt0
- RealExp_expD
- RealExp_expK
- RealExp_expN
- RealExp_exp_gt0
- RealExp_exp_mono
- RealExp_exp_mono_ltr
- RealExp_ge0_sqrt
- RealExp_ge1_sqrt
- RealExp_ge2_e
- RealExp_inj_ln
- RealExp_inj_log
- RealExp_inj_rexpr
- RealExp_le1Dx_exp
- RealExp_le1Dx_rpowe
- RealExp_le_ln_dw
- RealExp_le_ln_up
- RealExp_lnM
- RealExp_lnV
- RealExp_ln_eq0
- RealExp_ln_ge0
- RealExp_ln_gt0
- RealExp_ln_le0
- RealExp_ln_mono
- RealExp_ln_mono_ltr
- RealExp_log'def
- RealExp_logK
- RealExp_logM
- RealExp_log_ge0
- RealExp_log_le0
- RealExp_log_mono
- RealExp_log_mono_ltr
- RealExp_lt3_e
- RealExp_poly2_canon
- RealExp_poly2_same_sign
- RealExp_poly2_solve
- RealExp_rexpr_hmono
- RealExp_rexpr_hmono_ltr
- RealExp_rpow1
- RealExp_rpowB
- RealExp_rpowD
- RealExp_rpowK
- RealExp_rpowM
- RealExp_rpowMVr
- RealExp_rpowMr
- RealExp_rpowN
- RealExp_rpowVr
- RealExp_rpow_ge0
- RealExp_rpow_gt0
- RealExp_rpow_hmono
- RealExp_rpow_int
- RealExp_rpow_mono
- RealExp_rpow_nat
- RealExp_rpoweK
- RealExp_rpowe_ge0
- RealExp_rpowe_gt0
- RealExp_rpowe_hmono
- RealExp_rpowe_mono
- RealExp_sqrtM
- RealExp_sqrt_gt0
- RealExp_sqrt_mono
- RealExp_sqrtsq_ge0
- RealExp_sqsqrt
- RealFLub_flub'def
- RealFLub_flubZ
- RealFLub_flub_le_ub
- RealFLub_flub_upper_bound
- RealFLub_has_fub'def
- RealFLub_has_fubZ
- RealFLub_is_fub'def
- RealFLub_ler_flub
- RealFLub_ler_has_fub
- RealFun_convex'def
- RealFun_convexD
- RealFun_convexZ
- RealFun_convex_le
- RealFun_segment_coeff
- RealLub_has_lub_scale
- RealLub_ler_lub
- RealLub_lub_le_ub
- RealLub_scale_rset'def
- RealLub_scale_rset_ho_spec
- RealSeq_bounded'def
- RealSeq_boundedP
- RealSeq_bounded_by'def
- RealSeq_cnvB
- RealSeq_cnvD
- RealSeq_cnvN
- RealSeq_cnv_bmono_from
- RealSeq_cnv_pow
- RealSeq_cnvtoB
- RealSeq_cnvtoBlim
- RealSeq_cnvtoD
- RealSeq_cnvtoD0r
- RealSeq_cnvtoDr0
- RealSeq_cnvtoN
- RealSeq_cnvto_lub_bmono_from
- RealSeq_cnvto_pow
- RealSeq_converge'def
- RealSeq_convergeto'def
- RealSeq_geC_lim_from
- RealSeq_leC_lim_from
- RealSeq_le_cnvto_from
- RealSeq_lim'def
- RealSeq_limB
- RealSeq_limD
- RealSeq_limN
- RealSeq_lim_pow
- RealSeq_monotone'def
- RealSeq_monotoneP
- RealSeq_squeeze_cnvto
- RealSeries_abs_neg_ler
- RealSeries_abs_pos_ler
- RealSeries_ge0_psum
- RealSeries_ge0_sum
- RealSeries_le0_sum
- RealSeries_ler_neg
- RealSeries_ler_norm_sum
- RealSeries_ler_pos
- RealSeries_ler_psum
- RealSeries_ler_psum_reindex
- RealSeries_ler_sum
- RealSeries_ler_sum_norm
- RealSeries_ler_sum_pos
- RealSeries_neg'def
- RealSeries_negN
- RealSeries_neg_ge0
- RealSeries_neg_ho_sort
- RealSeries_neg_ho_spec
- RealSeries_neg_ler
- RealSeries_norm_sum
- RealSeries_pos'def
- RealSeries_posN
- RealSeries_pos_ge0
- RealSeries_pos_ger
- RealSeries_pos_ho_sort
- RealSeries_pos_ho_spec
- RealSeries_pos_id
- RealSeries_pos_neg_abs
- RealSeries_pos_neg_id
- RealSeries_prodrDl2
- RealSeries_psum'def
- RealSeries_psumB
- RealSeries_psum_pred'def
- RealSeries_psum_pred_ho_sort
- RealSeries_psum_pred_ho_spec
- RealSeries_sum'def
- RealSeries_sumB
- RealSeries_sumD
- RealSeries_sumD1
- RealSeries_sumN
- RealSeries_sum_bool
- RealSeries_sum_norm
- RealSeries_sum_oapp
- RealSeries_sum_sbl
- RealSeries_sum_split
- RealSeries_sum_split_dist
- RealSeries_sum_split_norm
- RealSeries_summable'def
- RealSeries_summableD
- RealSeries_summableM_bound
- RealSeries_summableN
- RealSeries_summable_le
- RealSeries_summable_le_pos
- RealSeries_summable_swap
- RealSeries_summable_swapR
- RealSeries_sump_eq0P
- Real_RField_AddMonoid_add0m
- Real_RField_AddMonoid_addm0
- Real_RField_AddMonoid_addmA
- Real_RField_AddMonoid_addmAC
- Real_RField_AddMonoid_addmACA
- Real_RField_AddMonoid_addmC
- Real_RField_AddMonoid_addmCA
- Real_RField_AddMonoid_iteropE
- Real_RField_add0r
- Real_RField_addIr
- Real_RField_addKr
- Real_RField_addNKr
- Real_RField_addNr
- Real_RField_addr0
- Real_RField_addrA
- Real_RField_addrAC
- Real_RField_addrACA
- Real_RField_addrC
- Real_RField_addrCA
- Real_RField_addrI
- Real_RField_addrK
- Real_RField_addrN
- Real_RField_addrNK
- Real_RField_addr_eq0
- Real_RField_double_half
- Real_RField_eqr_opp
- Real_RField_eqr_oppLR
- Real_RField_eqr_sub
- Real_RField_exp'def
- Real_RField_fracrDE
- Real_RField_intmul'def
- Real_RField_intmulpE
- Real_RField_invrN
- Real_RField_invrN1
- Real_RField_lreg'def
- Real_RField_lregN
- Real_RField_mul1r2z
- Real_RField_mulN1r
- Real_RField_mulNr
- Real_RField_mulNrNz
- Real_RField_mulNrz
- Real_RField_mulr2z
- Real_RField_mulrBl
- Real_RField_mulrBr
- Real_RField_mulrDl
- Real_RField_mulrDr
- Real_RField_mulrDz
- Real_RField_mulrN
- Real_RField_mulrN1
- Real_RField_mulrNN
- Real_RField_mulrNz
- Real_RField_mulrS
- Real_RField_mulrSl
- Real_RField_mulrSz
- Real_RField_ofintN
- Real_RField_ofintS
- Real_RField_oppr0
- Real_RField_opprB
- Real_RField_opprD
- Real_RField_opprK
- Real_RField_oppr_eq0
- Real_RField_oppr_inj
- Real_RField_sqrf_eq1
- Real_RField_sqrrB
- Real_RField_sqrrD
- Real_RField_sqrrN
- Real_RField_sub0r
- Real_RField_subr0
- Real_RField_subrACA
- Real_RField_subrK
- Real_RField_subr_add2r
- Real_RField_subr_eq
- Real_RField_subr_eq0
- Real_RField_subr_sqr_1
- Real_RField_subrr
- Real_RField_unitrN
- Real_RField_unitrN1
- Real_`___'def
- Real_b2r_ge0
- Real_ceil_bound
- Real_ceil_ge
- Real_ceil_lt
- Real_eq_upto
- Real_floorP
- Real_floor_bound
- Real_floor_gt
- Real_floor_le
- Real_floor_mono
- Real_from_int_ceil_addl
- Real_from_int_ceil_addr
- Real_from_int_floor_addl
- Real_from_int_floor_addr
- Real_fromintB
- Real_fromintD
- Real_fromintN
- Real_gt_intp
- Real_has_lub'def
- Real_has_ub'def
- Real_intp'def
- Real_le_b2r
- Real_le_fromint
- Real_le_intp
- Real_leup_intp
- Real_lt_fromint
- Real_lub_adherent
- Real_lub_upper_bound
- Real_nonempty'def
- Real_ub'def
- Real_ub_ho_spec
- Real_upto2_abs
- Real_upto_abs
- Real_upto_le
- StdBigop_BBO_b2r_big
- StdBigop_BBO_big'def
- StdBigop_Bigreal_BRA_big'def
- StdBigop_Bigreal_BRA_bigEM
- StdBigop_Bigreal_BRA_bigID
- StdBigop_Bigreal_BRA_bigU
- StdBigop_Bigreal_BRA_big_cat
- StdBigop_Bigreal_BRA_big_cat_int
- StdBigop_Bigreal_BRA_big_comp
- StdBigop_Bigreal_BRA_big_cons
- StdBigop_Bigreal_BRA_big_consT
- StdBigop_Bigreal_BRA_big_const
- StdBigop_Bigreal_BRA_big_distrl
- StdBigop_Bigreal_BRA_big_distrr
- StdBigop_Bigreal_BRA_big_endo
- StdBigop_Bigreal_BRA_big_ind
- StdBigop_Bigreal_BRA_big_ind2
- StdBigop_Bigreal_BRA_big_ltn_cond
- StdBigop_Bigreal_BRA_big_nseq_cond
- StdBigop_Bigreal_BRA_big_rcons
- StdBigop_Bigreal_BRA_big_rec
- StdBigop_Bigreal_BRA_big_rec2
- StdBigop_Bigreal_BRA_big_rem
- StdBigop_Bigreal_BRA_big_split
- StdBigop_Bigreal_BRA_sumrB
- StdBigop_Bigreal_BRA_sumrD
- StdBigop_Bigreal_BRA_sumrN
- StdBigop_Bigreal_BRA_telescoping_sum
- StdBigop_Bigreal_BRA_telescoping_sum_down
- StdBigop_Bigreal_BRM_big'def
- StdBigop_Bigreal_Num_Domain_AddMonoid_add0m
- StdBigop_Bigreal_Num_Domain_AddMonoid_addm0
- StdBigop_Bigreal_Num_Domain_AddMonoid_addmA
- StdBigop_Bigreal_Num_Domain_AddMonoid_addmAC
- StdBigop_Bigreal_Num_Domain_AddMonoid_addmACA
- StdBigop_Bigreal_Num_Domain_AddMonoid_addmC
- StdBigop_Bigreal_Num_Domain_AddMonoid_addmCA
- StdBigop_Bigreal_Num_Domain_AddMonoid_iteropE
- StdBigop_Bigreal_Num_Domain_add0r
- StdBigop_Bigreal_Num_Domain_addIr
- StdBigop_Bigreal_Num_Domain_addKr
- StdBigop_Bigreal_Num_Domain_addNKr
- StdBigop_Bigreal_Num_Domain_addNr
- StdBigop_Bigreal_Num_Domain_addr0
- StdBigop_Bigreal_Num_Domain_addrA
- StdBigop_Bigreal_Num_Domain_addrAC
- StdBigop_Bigreal_Num_Domain_addrACA
- StdBigop_Bigreal_Num_Domain_addrC
- StdBigop_Bigreal_Num_Domain_addrCA
- StdBigop_Bigreal_Num_Domain_addrI
- StdBigop_Bigreal_Num_Domain_addrK
- StdBigop_Bigreal_Num_Domain_addrN
- StdBigop_Bigreal_Num_Domain_addrNK
- StdBigop_Bigreal_Num_Domain_addr_eq0
- StdBigop_Bigreal_Num_Domain_eqr_opp
- StdBigop_Bigreal_Num_Domain_eqr_oppLR
- StdBigop_Bigreal_Num_Domain_eqr_sub
- StdBigop_Bigreal_Num_Domain_fracrDE
- StdBigop_Bigreal_Num_Domain_intmulpE
- StdBigop_Bigreal_Num_Domain_invrN
- StdBigop_Bigreal_Num_Domain_invrN1
- StdBigop_Bigreal_Num_Domain_lregN
- StdBigop_Bigreal_Num_Domain_mul1r2z
- StdBigop_Bigreal_Num_Domain_mulN1r
- StdBigop_Bigreal_Num_Domain_mulNr
- StdBigop_Bigreal_Num_Domain_mulNrNz
- StdBigop_Bigreal_Num_Domain_mulNrz
- StdBigop_Bigreal_Num_Domain_mulr2z
- StdBigop_Bigreal_Num_Domain_mulrBl
- StdBigop_Bigreal_Num_Domain_mulrBr
- StdBigop_Bigreal_Num_Domain_mulrDl
- StdBigop_Bigreal_Num_Domain_mulrDr
- StdBigop_Bigreal_Num_Domain_mulrDz
- StdBigop_Bigreal_Num_Domain_mulrN
- StdBigop_Bigreal_Num_Domain_mulrN1
- StdBigop_Bigreal_Num_Domain_mulrNN
- StdBigop_Bigreal_Num_Domain_mulrNz
- StdBigop_Bigreal_Num_Domain_mulrS
- StdBigop_Bigreal_Num_Domain_mulrSl
- StdBigop_Bigreal_Num_Domain_mulrSz
- StdBigop_Bigreal_Num_Domain_ofintN
- StdBigop_Bigreal_Num_Domain_ofintS
- StdBigop_Bigreal_Num_Domain_oppr0
- StdBigop_Bigreal_Num_Domain_opprB
- StdBigop_Bigreal_Num_Domain_opprD
- StdBigop_Bigreal_Num_Domain_opprK
- StdBigop_Bigreal_Num_Domain_oppr_eq0
- StdBigop_Bigreal_Num_Domain_oppr_inj
- StdBigop_Bigreal_Num_Domain_sqrf_eq1
- StdBigop_Bigreal_Num_Domain_sqrrB
- StdBigop_Bigreal_Num_Domain_sqrrD
- StdBigop_Bigreal_Num_Domain_sqrrN
- StdBigop_Bigreal_Num_Domain_sub0r
- StdBigop_Bigreal_Num_Domain_subr0
- StdBigop_Bigreal_Num_Domain_subrACA
- StdBigop_Bigreal_Num_Domain_subrK
- StdBigop_Bigreal_Num_Domain_subr_add2r
- StdBigop_Bigreal_Num_Domain_subr_eq
- StdBigop_Bigreal_Num_Domain_subr_eq0
- StdBigop_Bigreal_Num_Domain_subr_sqr_1
- StdBigop_Bigreal_Num_Domain_subrr
- StdBigop_Bigreal_Num_Domain_unitrN
- StdBigop_Bigreal_Num_Domain_unitrN1
- StdBigop_Bigreal_big_normr
- StdBigop_Bigreal_gt0_prodr_seq
- StdBigop_Bigreal_ler_pexpn2r
- StdBigop_Bigreal_ler_prod
- StdBigop_Bigreal_ler_prod_seq
- StdBigop_Bigreal_ler_sum
- StdBigop_Bigreal_ler_sum_seq
- StdBigop_Bigreal_prodr_ge0
- StdBigop_Bigreal_prodr_ge0_seq
- StdBigop_Bigreal_prodr_gt0
- StdBigop_Bigreal_prodr_gt0_seq
- StdBigop_Bigreal_sub_ler_sum
- StdBigop_Bigreal_subrXX
- StdBigop_Bigreal_sum_expr
- StdBigop_Bigreal_sum_expr_le
- StdBigop_Bigreal_sum_iexpr_le
- StdBigop_Bigreal_sum_ipow_le
- StdBigop_Bigreal_sum_pow
- StdBigop_Bigreal_sum_pow_le
- StdBigop_Bigreal_sumr_ge0
- StdBigop_Bigreal_sumr_ge0_seq
- StdBigop_Bigreal_sumr_norm
- StdOrder_RealOrder_Domain_AddMonoid_add0m
- StdOrder_RealOrder_Domain_AddMonoid_addm0
- StdOrder_RealOrder_Domain_AddMonoid_addmA
- StdOrder_RealOrder_Domain_AddMonoid_addmAC
- StdOrder_RealOrder_Domain_AddMonoid_addmACA
- StdOrder_RealOrder_Domain_AddMonoid_addmC
- StdOrder_RealOrder_Domain_AddMonoid_addmCA
- StdOrder_RealOrder_Domain_AddMonoid_iteropE
- StdOrder_RealOrder_Domain_add0r
- StdOrder_RealOrder_Domain_addIr
- StdOrder_RealOrder_Domain_addKr
- StdOrder_RealOrder_Domain_addNKr
- StdOrder_RealOrder_Domain_addNr
- StdOrder_RealOrder_Domain_addr0
- StdOrder_RealOrder_Domain_addrA
- StdOrder_RealOrder_Domain_addrAC
- StdOrder_RealOrder_Domain_addrACA
- StdOrder_RealOrder_Domain_addrC
- StdOrder_RealOrder_Domain_addrCA
- StdOrder_RealOrder_Domain_addrI
- StdOrder_RealOrder_Domain_addrK
- StdOrder_RealOrder_Domain_addrN
- StdOrder_RealOrder_Domain_addrNK
- StdOrder_RealOrder_Domain_addr_eq0
- StdOrder_RealOrder_Domain_eqr_opp
- StdOrder_RealOrder_Domain_eqr_oppLR
- StdOrder_RealOrder_Domain_eqr_sub
- StdOrder_RealOrder_Domain_fracrDE
- StdOrder_RealOrder_Domain_intmulpE
- StdOrder_RealOrder_Domain_invrN
- StdOrder_RealOrder_Domain_invrN1
- StdOrder_RealOrder_Domain_lregN
- StdOrder_RealOrder_Domain_mul1r2z
- StdOrder_RealOrder_Domain_mulN1r
- StdOrder_RealOrder_Domain_mulNr
- StdOrder_RealOrder_Domain_mulNrNz
- StdOrder_RealOrder_Domain_mulNrz
- StdOrder_RealOrder_Domain_mulr2z
- StdOrder_RealOrder_Domain_mulrBl
- StdOrder_RealOrder_Domain_mulrBr
- StdOrder_RealOrder_Domain_mulrDl
- StdOrder_RealOrder_Domain_mulrDr
- StdOrder_RealOrder_Domain_mulrDz
- StdOrder_RealOrder_Domain_mulrN
- StdOrder_RealOrder_Domain_mulrN1
- StdOrder_RealOrder_Domain_mulrNN
- StdOrder_RealOrder_Domain_mulrNz
- StdOrder_RealOrder_Domain_mulrS
- StdOrder_RealOrder_Domain_mulrSl
- StdOrder_RealOrder_Domain_mulrSz
- StdOrder_RealOrder_Domain_ofintN
- StdOrder_RealOrder_Domain_ofintS
- StdOrder_RealOrder_Domain_oppr0
- StdOrder_RealOrder_Domain_opprB
- StdOrder_RealOrder_Domain_opprD
- StdOrder_RealOrder_Domain_opprK
- StdOrder_RealOrder_Domain_oppr_eq0
- StdOrder_RealOrder_Domain_oppr_inj
- StdOrder_RealOrder_Domain_sqrf_eq1
- StdOrder_RealOrder_Domain_sqrrB
- StdOrder_RealOrder_Domain_sqrrD
- StdOrder_RealOrder_Domain_sqrrN
- StdOrder_RealOrder_Domain_sub0r
- StdOrder_RealOrder_Domain_subr0
- StdOrder_RealOrder_Domain_subrACA
- StdOrder_RealOrder_Domain_subrK
- StdOrder_RealOrder_Domain_subr_add2r
- StdOrder_RealOrder_Domain_subr_eq
- StdOrder_RealOrder_Domain_subr_eq0
- StdOrder_RealOrder_Domain_subr_sqr_1
- StdOrder_RealOrder_Domain_subrr
- StdOrder_RealOrder_Domain_unitrN
- StdOrder_RealOrder_Domain_unitrN1
- StdOrder_RealOrder_addr_ge0
- StdOrder_RealOrder_addr_gt0
- StdOrder_RealOrder_addr_ss_eq0
- StdOrder_RealOrder_distrC
- StdOrder_RealOrder_divr_ge0
- StdOrder_RealOrder_divr_gt0
- StdOrder_RealOrder_eqr_le
- StdOrder_RealOrder_eqr_normN
- StdOrder_RealOrder_eqr_norm_id
- StdOrder_RealOrder_eqr_norml
- StdOrder_RealOrder_expr_ge0
- StdOrder_RealOrder_expr_gt0
- StdOrder_RealOrder_exprn_ege1
- StdOrder_RealOrder_exprn_egt1
- StdOrder_RealOrder_exprn_ile1
- StdOrder_RealOrder_exprn_ilt1
- StdOrder_RealOrder_ge0_sqr
- StdOrder_RealOrder_ger0_def
- StdOrder_RealOrder_ger0_norm
- StdOrder_RealOrder_ger_addl
- StdOrder_RealOrder_ger_addr
- StdOrder_RealOrder_ger_leVge
- StdOrder_RealOrder_ger_nmull
- StdOrder_RealOrder_ger_nmulr
- StdOrder_RealOrder_ger_pmull
- StdOrder_RealOrder_ger_pmulr
- StdOrder_RealOrder_gtr0_norm
- StdOrder_RealOrder_gtr_addl
- StdOrder_RealOrder_gtr_addr
- StdOrder_RealOrder_gtr_eqF
- StdOrder_RealOrder_gtr_nmull
- StdOrder_RealOrder_gtr_nmulr
- StdOrder_RealOrder_gtr_pmull
- StdOrder_RealOrder_gtr_pmulr
- StdOrder_RealOrder_ieexprIn
- StdOrder_RealOrder_ieexprn_weq1
- StdOrder_RealOrder_invr_ge0
- StdOrder_RealOrder_invr_ge1
- StdOrder_RealOrder_invr_gt0
- StdOrder_RealOrder_invr_gt1
- StdOrder_RealOrder_invr_le0
- StdOrder_RealOrder_invr_le1
- StdOrder_RealOrder_invr_lt0
- StdOrder_RealOrder_invr_lt1
- StdOrder_RealOrder_le0r
- StdOrder_RealOrder_leVge
- StdOrder_RealOrder_leVgt
- StdOrder_RealOrder_lef_ninv
- StdOrder_RealOrder_lef_pinv
- StdOrder_RealOrder_ler01
- StdOrder_RealOrder_ler0N1
- StdOrder_RealOrder_ler0_def
- StdOrder_RealOrder_ler0_norm
- StdOrder_RealOrder_ler0n
- StdOrder_RealOrder_lerN10
- StdOrder_RealOrder_lerNgt
- StdOrder_RealOrder_lerW_mono
- StdOrder_RealOrder_lerW_nmono
