You are helping an EasyCrypt proof: an SMT solver must prove the goal below.
From the candidate lemmas (axioms available in the environment), pick the ones
the solver actually NEEDS. Most goals need only 1-3 of them.

goal_id: examples/MEE-CBC/RCPA_CMA.ec::CVC5:8
- Distr_le1_mu1
- Distr_le1_mu1_fin
- Distr_le1_sum_isdistr
- Distr_le_djoin_size
- Distr_le_dprod_or
- Distr_ler_exp_pos
- Distr_ll_dbin
- Distr_madd'def
- Distr_madd_ho_sort
- Distr_madd_ho_spec
- Distr_massE
- Distr_massK
- Distr_mass_ho_sort
- Distr_mass_ho_spec
- Distr_mbin'def
- Distr_mbin_ho_spec
- Distr_mbin_support
- Distr_mkK
- Distr_mk_sort
- Distr_mlet'def
- Distr_mlet_ho_sort
- Distr_mlet_ho_spec
- Distr_mnull_ho_sort
- Distr_mnull_ho_spec
- Distr_mode'def
- Distr_mode_ge
- Distr_mode_sort
- Distr_mopt'def
- Distr_mopt_ho_sort
- Distr_mopt_ho_spec
- Distr_mprod'def
- Distr_mprod_ho_sort
- Distr_mprod_ho_spec
- Distr_mrestrict'def
- Distr_mrestrict_ho_sort
- Distr_mrestrict_ho_spec
- Distr_mu0
- Distr_mu0_false
- Distr_mu1_le_eq
- Distr_mu1_le_eq_mu1
- Distr_mu1_uni
- Distr_mu1_uni_ll
- Distr_muE
- Distr_muK
- Distr_muK'
- Distr_mu_and
- Distr_mu_and_weight
- Distr_mu_bounded
- Distr_mu_disjointL
- Distr_mu_dlet_le
- Distr_mu_eq
- Distr_mu_eq_support
- Distr_mu_has_le
- Distr_mu_has_leM
- Distr_mu_in_weight
- Distr_mu_le
- Distr_mu_le_eq
- Distr_mu_le_weight
- Distr_mu_mass
- Distr_mu_mem
- Distr_mu_mem_le
- Distr_mu_mem_le_mu1
- Distr_mu_mem_uniq
- Distr_mu_not
- Distr_mu_or
- Distr_mu_pos_fin
- Distr_mu_split
- Distr_mu_sub
- Distr_neq0_mu
- Distr_p_max'def
- Distr_partition'def
- Distr_pmaxE
- Distr_pmax_dnull
- Distr_pmax_ge0
- Distr_pmax_gt0
- Distr_pmax_le1
- Distr_pmax_upper_bound
- Distr_rnd_funi
- Distr_summable_dlet
- Distr_summable_mu1
- Distr_summable_mu1_cond
- Distr_summable_mu1_wght
- Distr_supp_dbin
- Distr_supp_djoin_cons
- Distr_supp_dprod
- Distr_support'def
- Distr_supportP
- Distr_supportPn
- Distr_support_ho_sort
- Distr_support_ho_spec
- Distr_uniform_pmaxE
- Distr_weightE
- Distr_weightE_support
- Distr_weight_djoin
- Distr_weight_djoin_cons
- Distr_weight_djoin_nil
- Distr_weight_dlet
- Distr_weight_dmap
- Distr_weight_dnull
- Distr_weight_dprod
- Distr_weight_drestrict
- Distr_weight_dscale
- Distr_weight_eq0
- Distr_weight_eq0_dnull
- Distr_witness_support
- EtM_SKEa_dC_ll
- EtM_dC_ll
- FSet_`_`'def
- FSet_`_`_sort
- FSet_elems_eq_fset0
- FSet_elems_eq_fset1
- FSet_elems_fset0
- FSet_elems_fset1
- FSet_elems_sort
- FSet_fset1'def
- FSet_fset1_sort
- FSet_oflist_cons
- FSet_oflist_sort
- FSet_pick'def
- FSet_pick0
- FSet_pick_sort
- FSet_set0E
- FSet_set1E
- Finite_fingraph'def
- Finite_fingraph_cons
- Finite_fingraph_nil
- Finite_fingraph_sort
- Finite_finite1
- Finite_finite_for_bool
- Finite_finite_for_unit
- Finite_finite_fun
- Finite_is_finite'def
- Finite_is_finite_for'def
- Finite_is_finite_for_bij
- Finite_to_seq'def
- Finite_to_seq_sort
- IntDiv_%_'def
- IntDiv_Euclide_prod
- IntDiv_fromint_div
- IntDiv_prime'def
- Int_IterOp_iter'def
- Int_IterOp_iter_sort
- Int_IterOp_iteri_sort
- Int_IterOp_iterop'def
- Int_IterOp_iterop_sort
- Int_b2i'def
- Int_odd'def
- List_++'def
- List_++_ho_ho_sort
- List_++_ho_ho_spec
- List_++_sort
- List_::_proj_1'def
- List_::_proj_1_sort
- List_::_proj_2'def
- List_::_proj_2_sort
- List_::_sort
- List_InsertSort_insert'def
- List_InsertSort_insert_sort
- List_InsertSort_perm_insert
- List_InsertSort_sort'def
- List_InsertSort_sort_sort
- List_Iota_iota0
- List_Iota_iota1
- List_Iota_iotaS
- List_Range_range'def
- List_Range_rangeS
- List_Range_range_geq
- List_Range_range_ltn
- List_[]_sort
- List_all'def
- List_all_pred1P
- List_all_predT
- List_allpairs'def
- List_allpairs0l
- List_allpairs0r
- List_allpairs_consl
- List_allpairs_consr
- List_allpairs_sort
- List_alltuples'def
- List_alltuplesS
- List_alltuples_le0
- List_alltuples_sort
- List_assoc'def
- List_assoc_cons
- List_assoc_head
- List_assoc_nil
- List_assoc_sort
- List_behead'def
- List_behead_cat
- List_behead_cons
- List_behead_nil
- List_behead_sort
- List_belast'def
- List_belast_rcons
- List_belast_sort
- List_cat0s
- List_cat1s
- List_cat_cons
- List_cat_eq0I
- List_cat_eq0IL
- List_cat_eq0IR
- List_cat_rcons
- List_catrev'def
- List_catrev_sort
- List_cats0
- List_cats1
- List_cons_uniq
- List_count'def
- List_count_predT
- List_drop'def
- List_drop_cons
- List_drop_oversize
- List_drop_size
- List_drop_sort
- List_drop_take1_nth
- List_eq_in_filter_pred0
- List_eqseq_cons
- List_filter'def
- List_filter_cons
- List_filter_pred0
- List_filter_pred1
- List_filter_predT
- List_filter_sort
- List_find'def
- List_flatten1
- List_flatten_cons
- List_flatten_nil
- List_flatten_seq1
- List_foldr'def
- List_foldr_sort
- List_has'def
- List_has_nil
- List_has_pred1
- List_has_predT
- List_head'def
- List_head_behead
- List_head_cons
- List_head_nil
- List_head_sort
- List_in_cons
- List_in_nil
- List_in_nilE
- List_index'def
- List_index_cons
- List_index_head
- List_inj_cons
- List_insert'def
- List_insert0
- List_insert_sort
- List_last'def
- List_lastI
- List_last_cons
- List_last_ind
- List_last_nonempty
- List_last_nth
- List_last_sort
- List_list_inversion
- List_map'def
- List_map1
- List_map_cons
- List_map_sort
- List_mask'def
- List_mask0
- List_mask_cons
- List_mask_false
- List_mask_sort
- List_mem'def
- List_mem_count
- List_mem_eq0
- List_mem_head
- List_mem_head_behead
- List_mem_ho_ho_sort
- List_mem_ho_ho_spec
- List_mem_rcons
- List_mem_seq1
- List_mem_seq2
- List_mem_seq3
- List_mem_seq4
- List_mkseq'def
- List_mkseq0
- List_mkseq0_le
- List_mkseq1
- List_mkseq2
- List_mkseqSr
- List_mkseq_sort
- List_nseq'def
- List_nseq0
- List_nseq0_le
- List_nseq1
- List_nseqS
- List_nseq_sort
- List_nth'def
- List_nth0
- List_nth1
- List_nth_sort
- List_ohead'def
- List_ohead_cons
- List_ohead_head
- List_ohead_nil
- List_ohead_sort
- List_onth'def
- List_onth_sort
- List_perm_cons
- List_perm_consCA
- List_perm_eq'def
- List_perm_eqP_pred1
- List_perm_eq_nil
- List_perm_to_rem
- List_pmap'def
- List_pmap_none
- List_pmap_sort
- List_put'def
- List_put_cons0
- List_put_consS
- List_put_empty
- List_put_sort
- List_rcons'def
- List_rcons_sort
- List_rem'def
- List_rem_sort
- List_rev1
- List_rev_cons
- List_rev_nil
- List_rev_rcons
- List_rot'def
- List_rot1_cons
- List_rot_sort
- List_rot_to
- List_seq2_ind
- List_size'def
- List_size_eq0
- List_size_eq1
- List_sort_rem
- List_splitPr
- List_sub0seq
- List_subseq'def
- List_subseq0
- List_subseq_cons
- List_subseq_consI
- List_take'def
- List_take0
- List_take_cons
- List_take_le0
- List_take_sort
- List_trim'def
- List_trim_head
- List_trim_sort
- List_trim_tail
- List_undup'def
- List_undup_nilp
- List_undup_sort
- List_uniq'def
- List_zip'def
- List_zip0l
- List_zip0r
- List_zip_sort
- Logic_=='def
- Logic_None_sort
- Logic_Some_proj_1'def
- Logic_Some_proj_1_sort
- Logic_Some_sort
- Logic___o'def
- Logic___o_ho_sort
- Logic___o_ho_spec
- Logic___o_sort
- Logic_cancel'def
- Logic_choiceb_sort
- Logic_commutative'def
- Logic_injective'def
- Logic_left_distributive'def
- Logic_left_id'def
- Logic_left_injective_in'def
- Logic_left_inverse'def
- Logic_left_inverse_in'def
- Logic_left_zero'def
- Logic_morphism_2'def
- Logic_oapp'def
- Logic_oapp_sort
- Logic_odflt'def
- Logic_odflt_sort
- Logic_omap'def
- Logic_omap_sort
- Logic_option_inversion
- Logic_pred0_ho_sort
- Logic_pred0_ho_spec
- Logic_pred1_ho_sort
- Logic_pred1_ho_spec
- Logic_predC'def
- Logic_predC1'def
- Logic_predC1_ho_sort
- Logic_predC1_ho_spec
- Logic_predC_ho_sort
- Logic_predC_ho_spec
- Logic_predI'def
- Logic_predI_ho_sort
- Logic_predI_ho_spec
- Logic_predT_ho_sort
- Logic_predT_ho_spec
- Logic_predU'def
- Logic_predU_ho_sort
- Logic_predU_ho_spec
- Logic_right_distributive'def
- Logic_right_id'def
- Logic_right_injective_in'def
- Logic_right_inverse'def
- Logic_right_inverse_in'def
- Logic_right_zero'def
- MtE_RCPA_WUF_PTXT_PTXT_security
- MtE_RCPA_WUF_RCPA_RCPA_prob
- MtE_SKEa_dC_ll
- MtE_Sec_dC_ll
- MtE_dC_ll
- RealExp_D2'def
- RealExp_^'def
- RealExp_e_boundW
- RealExp_e_ge0
- RealExp_e_gt0
- RealExp_exp0
- RealExp_expK
- RealExp_exp_gt0
- RealExp_exp_neq0
- RealExp_ge0_sqrt
- RealExp_ge1_sqrt
- RealExp_ge2_e
- RealExp_inj_ln
- RealExp_inj_log
- RealExp_inj_rexpr
- RealExp_le1Dx_exp
- RealExp_le1Dx_rpowe
- RealExp_le_ln_up
- RealExp_ln0
- RealExp_ln1
- RealExp_lnM
- RealExp_lnV
- RealExp_ln_eq0
- RealExp_ln_ge0
- RealExp_ln_gt0
- RealExp_ln_le0
- RealExp_ln_mono
- RealExp_ln_mono_ltr
- RealExp_log'def
- RealExp_logK
- RealExp_logM
- RealExp_log_ge0
- RealExp_log_le0
- RealExp_log_mono
- RealExp_log_mono_ltr
- RealExp_lt3_e
- RealExp_poly2_same_sign
- RealExp_rexpr_hmono
- RealExp_rexpr_hmono_ltr
- RealExp_rpow0
- RealExp_rpow0r
- RealExp_rpow1
- RealExp_rpow1r
- RealExp_rpowD
- RealExp_rpowE
- RealExp_rpowK
- RealExp_rpowM
- RealExp_rpowMVr
- RealExp_rpowMr
- RealExp_rpowN
- RealExp_rpowVr
- RealExp_rpow_ge0
- RealExp_rpow_gt0
- RealExp_rpow_hmono
- RealExp_rpow_int
- RealExp_rpow_mono
- RealExp_rpow_nat
- RealExp_rpoweK
- RealExp_rpowe_ge0
- RealExp_rpowe_gt0
- RealExp_sqrt0
- RealExp_sqrtM
- RealExp_sqrt_gt0
- RealExp_sqrt_mono
- RealExp_sqrtsq
- RealExp_sqrtsq_ge0
- RealExp_sqsqrt
- RealFLub_flub'def
- RealFLub_flubZ
- RealFLub_has_fub'def
- RealFLub_has_fubZ
- RealFLub_is_fub'def
- RealFun_convex'def
- RealFun_convexZ
- RealFun_segment_coeff
- RealLub_has_lub_scale
- RealLub_lub1
- RealLub_lub_scale
- RealLub_lub_scale0
- RealLub_scale_rset'def
- RealLub_scale_rset_ho_spec
- RealSeq_bounded'def
- RealSeq_boundedP
- RealSeq_bounded_by'def
- RealSeq_cnvZ_iff
- RealSeq_cnv_pow
- RealSeq_cnvtoBlim
- RealSeq_cnvtoD0r
- RealSeq_cnvtoDr0
- RealSeq_cnvtoM_boundedl
- RealSeq_cnvtoM_boundedr
- RealSeq_cnvtoV0
- RealSeq_cnvtoV_nz
- RealSeq_cnvtoVn
- RealSeq_cnvtoVn2
- RealSeq_cnvto_pow
- RealSeq_converge'def
- RealSeq_convergeto'def
- RealSeq_lim'def
- RealSeq_lim_Ncnv
- RealSeq_lim_pow
- RealSeq_nz_cnvto
- RealSeries_fin_sum_cond
- RealSeries_fin_sum_const
- RealSeries_fin_sum_type
- RealSeries_ge0_psum
- RealSeries_ge0_sum
- RealSeries_le0_sum
- RealSeries_ler_big_sum
- RealSeries_ler_sum_pos
- RealSeries_neg'def
- RealSeries_neg_ge0
- RealSeries_neg_ho_sort
- RealSeries_neg_ho_spec
- RealSeries_pos'def
- RealSeries_pos_ge0
- RealSeries_pos_ho_sort
- RealSeries_pos_ho_spec
- RealSeries_pos_id
- RealSeries_prodrDl
- RealSeries_prodrDl2
- RealSeries_psum'def
- RealSeries_psum_eq0P
- RealSeries_psum_partition
- RealSeries_psum_pred'def
- RealSeries_psum_pred_ho_sort
- RealSeries_psum_pred_ho_spec
- RealSeries_sbl_countable
- RealSeries_sum'def
- RealSeries_sum0
- RealSeries_sum0_eq
- RealSeries_sumD1
- RealSeries_sumE_fin
- RealSeries_sum_Nsbl
- RealSeries_sum_big
- RealSeries_sum_norm
- RealSeries_sum_partition
- RealSeries_sum_split
- RealSeries_summable'def
- RealSeries_summable0
- RealSeries_summableM_bound
- RealSeries_summableZ_iff
- RealSeries_summable_big
- RealSeries_summable_cond
- RealSeries_summable_cond_fin
- RealSeries_summable_fin
- RealSeries_summable_le_pos
- RealSeries_summable_partition
- RealSeries_summable_psum_partition
- RealSeries_summable_swap
- RealSeries_summable_swapR
- RealSeries_sump_eq0P
- Real_RField_AddMonoid_add0m
- Real_RField_AddMonoid_addm0
- Real_RField_AddMonoid_iteropE
- Real_RField_MulMonoid_add0m
- Real_RField_MulMonoid_addm0
- Real_RField_MulMonoid_iteropE
- Real_RField_add0r
- Real_RField_addNr
- Real_RField_addr0
- Real_RField_addrN
- Real_RField_addr_eq0
- Real_RField_div1r
- Real_RField_divff
- Real_RField_divr1
- Real_RField_divrr
- Real_RField_double_half
- Real_RField_eqf_div
- Real_RField_eqr_div
- Real_RField_exp'def
- Real_RField_expf_eq0
- Real_RField_expr0
- Real_RField_expr0n
- Real_RField_expr0z
- Real_RField_expr1z
- Real_RField_exprD
- Real_RField_fracrDE
- Real_RField_fromintXn
- Real_RField_intmul'def
- Real_RField_intmulpE
- Real_RField_intmulr
- Real_RField_invr0
- Real_RField_invr1
- Real_RField_invrM
- Real_RField_invrN1
- Real_RField_invr_eq0
- Real_RField_invr_eq1
- Real_RField_invr_neq0
- Real_RField_invr_out
- Real_RField_lreg'def
- Real_RField_lreg1
- Real_RField_lregP
- Real_RField_lreg_neq0
- Real_RField_mul0r
- Real_RField_mul1r
- Real_RField_mul1r0z
- Real_RField_mulIf
- Real_RField_mulIr
- Real_RField_mulKr
- Real_RField_mulN1r
- Real_RField_mulVKr
- Real_RField_mulVf
- Real_RField_mulVr
- Real_RField_mulfI
- Real_RField_mulfV
- Real_RField_mulf_eq0
- Real_RField_mulf_neq0
- Real_RField_mulr0
- Real_RField_mulr0z
- Real_RField_mulr1
- Real_RField_mulrI
- Real_RField_mulrI0_lreg
- Real_RField_mulrI_eq0
- Real_RField_mulrK
- Real_RField_mulrN1
- Real_RField_mulrSl
- Real_RField_mulrV
- Real_RField_mulrVK
- Real_RField_ofint0
- Real_RField_ofint1
- Real_RField_ofintR
- Real_RField_ofintS
- Real_RField_oner_neq0
- Real_RField_oppr0
- Real_RField_oppr_eq0
- Real_RField_signr_odd
- Real_RField_sqrf_eq1
- Real_RField_sub0r
- Real_RField_subr0
- Real_RField_subr_eq0
- Real_RField_subr_sqr_1
- Real_RField_subrr
- Real_RField_unitP
- Real_RField_unitout
- Real_RField_unitr0
- Real_RField_unitr1
- Real_RField_unitrE
- Real_RField_unitrM
- Real_RField_unitrMl
- Real_RField_unitrMr
- Real_RField_unitrN
- Real_RField_unitrN1
- Real_RField_unitrP
- Real_RField_unitrV
- Real_RField_unitrX
- Real_RField_unitrX_neq0
- Real_`___'def
- Real_b2r0
- Real_b2r1
- Real_b2rE
- Real_b2r_ge0
- Real_ceil_bound
- Real_ceil_eqP
- Real_ceil_ge
- Real_ceil_lt
- Real_divr0
- Real_divrK
- Real_eq_fromint
- Real_floorP
- Real_floor_bound
- Real_floor_eqP
- Real_floor_gt
- Real_floor_le
- Real_from_int_ceil
- Real_from_int_ceil_addl
- Real_from_int_ceil_addr
- Real_from_int_floor
- Real_from_int_floor_addl
- Real_from_int_floor_addr
- Real_fromint0
- Real_fromint1
- Real_fromintB
- Real_fromintD
- Real_fromintM
- Real_fromintN
- Real_fromint_abs
- Real_gt_intp
- Real_has_lub'def
- Real_has_ub'def
- Real_intp'def
- Real_invr0
- Real_isint'def
- Real_le_b2r
- Real_le_fromint
- Real_le_intp
- Real_leup_intp
- Real_lt_fromint
- Real_lub_adherent
- Real_nonempty'def
- Real_ub'def
- Real_ub_ho_spec
- Real_upto2_abs
- Ring_IntID_exp'def
- StdBigop_BBA_big'def
- StdBigop_BBA_bigEM
- StdBigop_BBA_big_allpairs
- StdBigop_BBA_big_cons
- StdBigop_BBA_big_consT
- StdBigop_BBA_big_eq_idm_filter
- StdBigop_BBA_big_filter
- StdBigop_BBA_big_flatten
- StdBigop_BBA_big_int
- StdBigop_BBA_big_int1
- StdBigop_BBA_big_mapT
- StdBigop_BBA_big_mkcond
- StdBigop_BBA_big_nil
- StdBigop_BBA_big_nseq
- StdBigop_BBA_big_seq
- StdBigop_BBA_big_seq1
- StdBigop_BBA_eq_big_int
- StdBigop_BBA_eq_big_perm_map
- StdBigop_BBA_eq_big_seq
- StdBigop_BBM_big'def
- StdBigop_BBM_bigD1
- StdBigop_BBM_bigEM
- StdBigop_BBM_bigP
- StdBigop_BBM_big_allpairs
- StdBigop_BBM_big_cons
- StdBigop_BBM_big_consT
- StdBigop_BBM_big_eq_idm_filter
- StdBigop_BBM_big_filter
- StdBigop_BBM_big_flatten
- StdBigop_BBM_big_int
- StdBigop_BBM_big_int1
- StdBigop_BBM_big_int_recl
- StdBigop_BBM_big_int_recr
- StdBigop_BBM_big_ltn
- StdBigop_BBM_big_mapT
- StdBigop_BBM_big_mkcond
- StdBigop_BBM_big_nil
- StdBigop_BBM_big_nseq
- StdBigop_BBM_big_seq
- StdBigop_BBM_big_seq1
- StdBigop_BBM_eq_big_int
- StdBigop_BBM_eq_big_perm_map
- StdBigop_BBM_eq_big_seq
- StdBigop_BBO_b2r_big
- StdBigop_BBO_big'def
- StdBigop_BBO_bigD1
- StdBigop_BBO_bigEM
- StdBigop_BBO_bigP
- StdBigop_BBO_big_allpairs
- StdBigop_BBO_big_cons
- StdBigop_BBO_big_consT
- StdBigop_BBO_big_eq_idm_filter
- StdBigop_BBO_big_filter
- StdBigop_BBO_big_flatten
- StdBigop_BBO_big_int
- StdBigop_BBO_big_int1
- StdBigop_BBO_big_int_recl
- StdBigop_BBO_big_int_recr
- StdBigop_BBO_big_ltn
- StdBigop_BBO_big_mapT
- StdBigop_BBO_big_mkcond
- StdBigop_BBO_big_nil
- StdBigop_BBO_big_nseq
- StdBigop_BBO_big_seq
- StdBigop_BBO_big_seq1
- StdBigop_BBO_eq_big_int
- StdBigop_BBO_eq_big_perm_map
- StdBigop_BBO_eq_big_seq
- StdBigop_Bigbool_BBAnd_big'def
- StdBigop_Bigbool_BBAnd_bigD1
- StdBigop_Bigbool_BBAnd_bigEM
- StdBigop_Bigbool_BBAnd_big_allpairs
- StdBigop_Bigbool_BBAnd_big_cons
- StdBigop_Bigbool_BBAnd_big_consT
- StdBigop_Bigbool_BBAnd_big_eq_idm_filter
- StdBigop_Bigbool_BBAnd_big_filter
- StdBigop_Bigbool_BBAnd_big_flatten
- StdBigop_Bigbool_BBAnd_big_int
- StdBigop_Bigbool_BBAnd_big_int1
- StdBigop_Bigbool_BBAnd_big_int_recl
- StdBigop_Bigbool_BBAnd_big_int_recr
- StdBigop_Bigbool_BBAnd_big_ltn
- StdBigop_Bigbool_BBAnd_big_mapT
- StdBigop_Bigbool_BBAnd_big_mkcond
- StdBigop_Bigbool_BBAnd_big_nil
- StdBigop_Bigbool_BBAnd_big_nseq
- StdBigop_Bigbool_BBAnd_big_seq
- StdBigop_Bigbool_BBAnd_big_seq1
- StdBigop_Bigbool_BBAnd_eq_big_int
- StdBigop_Bigbool_BBAnd_eq_big_perm_map
- StdBigop_Bigbool_BBAnd_eq_big_seq
- StdBigop_Bigbool_BBOr_big'def
- StdBigop_Bigbool_BBOr_bigD1
- StdBigop_Bigbool_BBOr_bigEM
- StdBigop_Bigbool_BBOr_big_allpairs
- StdBigop_Bigbool_BBOr_big_cons
- StdBigop_Bigbool_BBOr_big_consT
- StdBigop_Bigbool_BBOr_big_eq_idm_filter
- StdBigop_Bigbool_BBOr_big_filter
- StdBigop_Bigbool_BBOr_big_flatten
- StdBigop_Bigbool_BBOr_big_int
- StdBigop_Bigbool_BBOr_big_int1
- StdBigop_Bigbool_BBOr_big_int_recl
- StdBigop_Bigbool_BBOr_big_int_recr
- StdBigop_Bigbool_BBOr_big_ltn
- StdBigop_Bigbool_BBOr_big_mapT
- StdBigop_Bigbool_BBOr_big_mkcond
- StdBigop_Bigbool_BBOr_big_nil
- StdBigop_Bigbool_BBOr_big_nseq
